\begin{tabular}{lrr}
\toprule
{} &  Max Betweeness &  Max Closeness \\
\midrule
1954 - 1950 &        0.000161 &       0.010363 \\
1954 - 1955 &        0.001066 &       0.072464 \\
1955 - 1956 &        0.000356 &       0.029762 \\
1956 - 1957 &        0.001566 &       0.087719 \\
1957 - 1958 &        0.004976 &       0.036255 \\
1958 - 1959 &        0.000952 &       0.048544 \\
1959 - 1961 &        0.000000 &       0.000000 \\
1961 - 1962 &        0.000177 &       0.021008 \\
1962 - 1964 &        0.001453 &       0.019782 \\
1964 - 1965 &        0.000000 &       0.062500 \\
1965 - 1966 &        0.000288 &       0.011661 \\
1966 - 1967 &        0.000763 &       0.043478 \\
1967 - 1968 &        0.000338 &       0.013398 \\
1968 - 1969 &        0.000440 &       0.014934 \\
1969 - 1970 &        0.006169 &       0.045972 \\
1970 - 1971 &        0.002682 &       0.025665 \\
1971 - 1972 &        0.006286 &       0.045529 \\
1972 - 1973 &        0.004202 &       0.142857 \\
1973 - 1974 &        0.000294 &       0.027027 \\
1974 - 1975 &        0.000402 &       0.013213 \\
1975 - 1976 &        0.008358 &       0.048528 \\
1976 - 1977 &        0.001623 &       0.063291 \\
1977 - 1978 &        0.000000 &       0.000000 \\
1978 - 1979 &        0.000700 &       0.041667 \\
1979 - 1980 &        0.001469 &       0.060241 \\
1980 - 1981 &        0.003556 &       0.131579 \\
1981 - 1982 &        0.000000 &       0.000000 \\
1982 - 1983 &        0.000000 &       0.000000 \\
1983 - 1984 &        0.001404 &       0.065789 \\
1984 - 1985 &        0.001512 &       0.086207 \\
1985 - 1986 &        0.000000 &       0.000000 \\
1986 - 1987 &        0.000093 &       0.015244 \\
1987 - 1988 &        0.000570 &       0.037594 \\
1988 - 1989 &        0.000000 &       0.050000 \\
1989 - 1990 &        0.000087 &       0.013441 \\
1990 - 1991 &        0.001512 &       0.086207 \\
1991 - 1992 &        0.001169 &       0.053763 \\
1992 - 1993 &        0.000076 &       0.015038 \\
1993 - 1994 &        0.001565 &       0.069444 \\
1994 - 1995 &        0.001368 &       0.058140 \\
1995 - 1996 &        0.000486 &       0.034722 \\
1996 - 1997 &        0.001144 &       0.053191 \\
1997 - 1998 &        0.002151 &       0.129032 \\
1998 - 1999 &        0.001461 &       0.084746 \\
1999 - 2000 &        0.000000 &       0.000000 \\
2000 - 2001 &        0.000070 &       0.013363 \\
2001 - 2002 &        0.005914 &       0.044803 \\
2002 - 2003 &        0.000104 &       0.016129 \\
2003 - 2004 &        0.001888 &       0.018780 \\
2004 - 2005 &        0.000408 &       0.031847 \\
2005 - 2006 &        0.000000 &       0.000000 \\
2006 - 2007 &        0.000130 &       0.017986 \\
2007 - 2008 &        0.001461 &       0.084746 \\
2008 - 2009 &        0.000000 &       0.000000 \\
2009 - 2010 &        0.000000 &       0.000000 \\
2010 - 2011 &        0.000153 &       0.019531 \\
2011 - 2012 &        0.001131 &       0.074627 \\
2012 - 2013 &        0.002041 &       0.100000 \\
2013 - 2014 &        0.000855 &       0.012781 \\
2014 - 2015 &        0.000054 &       0.011811 \\
2015 - 2016 &        0.000000 &       0.000000 \\
2016 - 2017 &        0.004359 &       0.040070 \\
2017 - 2018 &        0.000209 &       0.022831 \\
\bottomrule
\end{tabular}
